sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
activation,1000,571,543,880,16,1195,0.0,12.470227332244267,1.7658036749759947
alarm-config,1000,666,606,964,10,1348,0.0,12.398948569161334,6.126824195308238
alarm-config[put],1000,1128,1107,1631,51,2705,0.369,12.276867925454857,1.6035819488607068
alarm-info,1000,760,739,1127,63,1402,0.0,12.22000904280669,6.718618253027508
alarm-info-user-userId-date,1000,597,546,920,81,1378,0.0,12.149487291636294,6.679845063663313
alarm-notifications,1000,550,501,830,83,1375,0.0,12.147125989990768,6.761583803022205
avatars,1000,654,519,1077,130,1421,0.0,12.156133377095413,7.977462528718864
avatars{avatarId},1000,645,519,1099,274,1416,0.0,12.19779951696714,4.645646300407407
devices,1000,540,504,671,230,1347,0.0,12.231368567829055,6.235131242584733
devices-arrangement,1000,488,483,533,356,993,0.0,12.188730299964652,5.487309246370805
devices{deviceId},1000,489,489,534,359,606,0.0,12.258807953514602,6.069546516046779
get-dsn{dosn},1000,499,500,536,384,629,0.0,12.241250566157838,1.7931519384020271
groups,1000,511,512,559,405,642,0.0,12.226583036838694,8.620696242771032
groups-arrangement,1000,501,501,543,398,625,0.0,12.205392342336843,5.494810419743443
groups{groupId},1000,503,504,555,398,620,0.0,12.19675810169657,4.943022082230543
groups{groupId}[put],1000,533,519,637,398,789,0.859,12.165450121654501,1.9207036002128952
guardian-profile,1000,527,525,567,436,653,0.0,12.157315664701233,4.000991581058902
latest-available-report,1000,517,518,560,413,627,0.0,12.154803578374175,2.7894324618339166
living-duration,1000,507,506,555,405,619,0.0,12.150373016451605,1.7205118040873852
operated-details,1000,504,506,544,422,623,0.0,12.140931937935557,2.7506798921885243
payment-orders,1000,503,503,546,420,585,0.0,12.137689954847794,1.7068626499004709
points,1000,507,507,548,419,634,0.0,12.127974385718097,2.1081830475174037
recharge-orders{rechargeOrderId},1000,493,496,530,417,599,0.0,12.121065199209706,3.894365674355462
report{date},1000,487,488,528,414,606,0.0,12.12033064261993,1.4676962887547573
romeo-and-juliet,1000,495,494,531,419,652,0.0,12.106390963789783,26.187164047650754
threshold,1000,510,503,562,421,661,0.0,12.10140981424336,1.6544896230410842
transactions,1000,515,509,577,416,652,0.0,12.105658184635498,1.690536250393434
users,1000,501,500,557,323,643,0.0,12.122387625466711,19.4857910464045
users{userId},1000,500,499,552,267,767,0.0,12.148454109214603,7.20128090263014
users{userId}[put],1000,529,516,635,265,1320,0.868,12.175522329907952,1.9341245266765692
users{userId}histories{date},1000,570,539,811,93,1150,0.0,12.225985108750137,1.6237636472558774
usersharerules,1000,644,557,1010,12,1190,0.0,12.297551557484905,1.7413525154641711
versions,1000,642,548,1011,43,1198,0.0,12.360481069923242,91.35168040740145
TOTAL,33000,563,512,777,10,2705,0.06351515151515151,346.28218850343137,219.59375541065918
